2025-05-12 07:01:28,544 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:01:59,823 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:02:31,245 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:03:02,853 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:03:34,250 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:04:05,534 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:04:37,835 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:05:09,221 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:05:40,606 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:06:12,084 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:06:43,427 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:07:14,747 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:07:46,263 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:08:18,158 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:08:49,902 - Error in main loop: Unable to parse string [22-05-2025]
2025-05-12 07:09:24,143 - Error in main loop: Unable to parse string [22-05-2025]
